trainingDataSizeInWords, testingDataSizeInWords, trainingDataSizeInSentences, testingDataSizeInSentences, numberOfTaggedSentencesNotNeutral, totalCorrectSentences, totalNeutralSentences, totalCorrectWords, percentageOfUnknownWords, percentageTrainedOn, totalCorrectPercentage
145619, 0, 10691, 4582, 36, 3116, 3352, 0, 0.12530507244783537, 0.7, 0.6802008295132067
 ,ANGRY ,SUPPRIZED_PLUS ,SUPRIZED_NEG ,FEERFUL ,SAD ,DISGUSTED ,NEUTRAL ,HAPPY ,NEGATIVE ,POSITIVE ,
ANGRY, 0, 0, 0, 1, 0, 0, 10, 0, 1, 0
SUPPRIZED_PLUS, 1, 0, 0, 1, 0, 1, 22, 1, 0, 0
SUPRIZED_NEG, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
FEERFUL, 1, 0, 0, 0, 0, 0, 64, 2, 0, 0
SAD, 0, 0, 0, 2, 0, 1, 16, 1, 2, 0
DISGUSTED, 1, 0, 0, 1, 1, 0, 26, 2, 1, 1
NEUTRAL, 153, 8, 2, 185, 140, 124, 0, 396, 111, 16
HAPPY, 6, 0, 0, 10, 2, 2, 112, 0, 4, 1
NEGATIVE, 1, 0, 0, 0, 1, 2, 19, 6, 0, 1
POSITIVE, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
