trainingDataSizeInWords, testingDataSizeInWords, trainingDataSizeInSentences, testingDataSizeInSentences, numberOfTaggedSentencesNotNeutral, totalCorrectSentences, totalNeutralSentences, totalCorrectWords, percentageOfUnknownWords, percentageTrainedOn, totalCorrectPercentage
238714, 0, 10702, 4587, 14, 3295, 3354, 0, 0.0762774527481936, 0.7, 0.7184910597470563
 ,ANGRY ,SUPPRIZED_PLUS ,SUPRIZED_NEG ,FEERFUL ,SAD ,DISGUSTED ,NEUTRAL ,HAPPY ,NEGATIVE ,POSITIVE ,
ANGRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SUPPRIZED_PLUS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SUPRIZED_NEG, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
FEERFUL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SAD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DISGUSTED, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
NEUTRAL, 0, 0, 0, 0, 0, 0, 0, 0, 756, 448
HAPPY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
NEGATIVE, 0, 0, 0, 0, 0, 0, 56, 0, 0, 7
POSITIVE, 0, 0, 0, 0, 0, 0, 17, 0, 7, 0
